"ID","Title","Report DOI"
3,"A machine learning based approach on predicting usage efficiency of shared e-scooters using vehicle availability data","10.17605/OSF.IO/DJFC2"
5,"What are intersections for pedestrian users?","10.17605/OSF.IO/XPG6Y"
6,"""Landmark Route"": A Comparison to the Shortest Route","10.17605/OSF.IO/94VNX"
7,"Unlocking social network analysis methods for studying human mobility","10.17605/OSF.IO/MVQCW"
10,"Optimizing Electric Vehicle Charging Schedules Based on Probabilistic Forecast of Individual Mobility","10.17605/OSF.IO/JDTN3"
11,"Traffic Regulation Recognition using Crowd-sensed GPS Data and Map Data: a Hybrid Approach","10.17605/OSF.IO/WNCSM"
12,"Exploratory Analysis and  Feature Selection for the Prediction of Nitrogen Dioxide","10.17605/OSF.IO/W7VPH"
13,"Spatial Disaggregation of Population Subgroups Leveraging Self-Trained Multi-Output Gradient Boosted Regression Trees","10.17605/OSF.IO/CDFAH"
14,"GeoXTag: Relative Spatial Information Extraction and Tagging of Unstructured Text","10.17605/OSF.IO/3G9S8"
15,"A method to produce metadata describing and assessing the quality of spatial landmark datasets in mountain area","10.17605/OSF.IO/6S2GP"
16,"Does the Built Environment Increase Active Travel?: Utilising Strava Bike Data and Geographically Weighted Models","10.17605/OSF.IO/R6PSQ"
17,"Benchmarking Invasive Alien Species Image Recognition Models for a Citizen Science Based Spatial Distribution Monitoring","10.17605/OSF.IO/K78EB"
19,"Geoparsing: Solved or Biased? An Evaluation of Geographic Biases in Geoparsing","10.17605/OSF.IO/3DSMV"
22,"Experimental evaluation of using BLE beacon for outdoor positioning in GPS-denied environment","10.17605/OSF.IO/8B7MR"
23,"Understanding COVID-19 Effects on Mobility: A Community-Engaged Approach","10.17605/OSF.IO/KF8SR"
24,"Understanding the Imperfection of 3D point Cloud and Semantic Segmentation algorithms for 3D Models of Indoor Environment","10.17605/OSF.IO/Z7P8K"
