Messwert-Nr.,Jahr,Monat,Tag,Wochentag,Datum,Zeitstempel von,Zeitstempel bis,MP von,MP bis,H00 [kW],H00 [kWh]
14585,2021,06,02,3,02/06/2021,02/06/2021 0:00,02/06/2021 0:15,00:00,0:15,73.68038351,18.42009588
14586,2021,06,02,3,02/06/2021,02/06/2021 0:15,02/06/2021 0:30,0:15,0:30,65.64034166,16.41008541
14587,2021,06,02,3,02/06/2021,02/06/2021 0:30,02/06/2021 0:45,0:30,0:45,58.72030564,14.68007641
14588,2021,06,02,3,02/06/2021,02/06/2021 0:45,02/06/2021 1:00,0:45,1:00,53.28027732,13.32006933
14589,2021,06,02,3,02/06/2021,02/06/2021 1:00,02/06/2021 1:15,1:00,1:15,49.36025692,12.34006423
14590,2021,06,02,3,02/06/2021,02/06/2021 1:15,02/06/2021 1:30,1:15,1:30,47.08024505,11.77006126
14591,2021,06,02,3,02/06/2021,02/06/2021 1:30,02/06/2021 1:45,1:30,1:45,45.60023735,11.40005934
14592,2021,06,02,3,02/06/2021,02/06/2021 1:45,02/06/2021 2:00,1:45,2:00,44.60023214,11.15005804
14593,2021,06,02,3,02/06/2021,02/06/2021 2:00,02/06/2021 2:15,2:00,2:15,43.68022736,10.92005684
14594,2021,06,02,3,02/06/2021,02/06/2021 2:15,02/06/2021 2:30,2:15,2:30,42.80022278,10.70005569
14595,2021,06,02,3,02/06/2021,02/06/2021 2:30,02/06/2021 2:45,2:30,2:45,41.88021799,10.47005450
14596,2021,06,02,3,02/06/2021,02/06/2021 2:45,02/06/2021 3:00,2:45,3:00,41.12021403,10.28005351
14597,2021,06,02,3,02/06/2021,02/06/2021 3:00,02/06/2021 3:15,3:00,3:15,40.44021049,10.11005262
14598,2021,06,02,3,02/06/2021,02/06/2021 3:15,02/06/2021 3:30,3:15,3:30,39.92020778,9.98005195
14599,2021,06,02,3,02/06/2021,02/06/2021 3:30,02/06/2021 3:45,3:30,3:45,39.56020591,9.89005148
14600,2021,06,02,3,02/06/2021,02/06/2021 3:45,02/06/2021 4:00,3:45,4:00,39.68020654,9.92005163
14601,2021,06,02,3,02/06/2021,02/06/2021 4:00,02/06/2021 4:15,4:00,4:15,40.08020862,10.02005215
14602,2021,06,02,3,02/06/2021,02/06/2021 4:15,02/06/2021 4:30,4:15,4:30,40.84021257,10.21005314
14603,2021,06,02,3,02/06/2021,02/06/2021 4:30,02/06/2021 4:45,4:30,4:45,41.96021840,10.49005460
14604,2021,06,02,3,02/06/2021,02/06/2021 4:45,02/06/2021 5:00,4:45,5:00,43.24022507,10.81005627
14605,2021,06,02,3,02/06/2021,02/06/2021 5:00,02/06/2021 5:15,5:00,5:15,44.84023339,11.21005835
14606,2021,06,02,3,02/06/2021,02/06/2021 5:15,02/06/2021 5:30,5:15,5:30,47.32024630,11.83006158
14607,2021,06,02,3,02/06/2021,02/06/2021 5:30,02/06/2021 5:45,5:30,5:45,51.48026795,12.87006699
14608,2021,06,02,3,02/06/2021,02/06/2021 5:45,02/06/2021 6:00,5:45,6:00,58.04030210,14.51007552
14609,2021,06,02,3,02/06/2021,02/06/2021 6:00,02/06/2021 6:15,6:00,6:15,67.40035082,16.85008770
14610,2021,06,02,3,02/06/2021,02/06/2021 6:15,02/06/2021 6:30,6:15,6:30,78.32040766,19.58010191
14611,2021,06,02,3,02/06/2021,02/06/2021 6:30,02/06/2021 6:45,6:30,6:45,89.12046387,22.28011597
14612,2021,06,02,3,02/06/2021,02/06/2021 6:45,02/06/2021 7:00,6:45,7:00,98.48051259,24.62012815
14613,2021,06,02,3,02/06/2021,02/06/2021 7:00,02/06/2021 7:15,7:00,7:15,105.12054715,26.28013679
14614,2021,06,02,3,02/06/2021,02/06/2021 7:15,02/06/2021 7:30,7:15,7:30,109.44056964,27.36014241
14615,2021,06,02,3,02/06/2021,02/06/2021 7:30,02/06/2021 7:45,7:30,7:45,112.36058484,28.09014621
14616,2021,06,02,3,02/06/2021,02/06/2021 7:45,02/06/2021 8:00,7:45,8:00,114.72059712,28.68014928
14617,2021,06,02,3,02/06/2021,02/06/2021 8:00,02/06/2021 8:15,8:00,8:15,117.28061045,29.32015261
14618,2021,06,02,3,02/06/2021,02/06/2021 8:15,02/06/2021 8:30,8:15,8:30,119.76062335,29.94015584
14619,2021,06,02,3,02/06/2021,02/06/2021 8:30,02/06/2021 8:45,8:30,8:45,121.88063439,30.47015860
14620,2021,06,02,3,02/06/2021,02/06/2021 8:45,02/06/2021 9:00,8:45,9:00,123.24064147,30.81016037
14621,2021,06,02,3,02/06/2021,02/06/2021 9:00,02/06/2021 9:15,9:00,9:15,123.68064376,30.92016094
14622,2021,06,02,3,02/06/2021,02/06/2021 9:15,02/06/2021 9:30,9:15,9:30,123.32064188,30.83016047
14623,2021,06,02,3,02/06/2021,02/06/2021 9:30,02/06/2021 9:45,9:30,9:45,122.40063710,30.60015927
14624,2021,06,02,3,02/06/2021,02/06/2021 9:45,02/06/2021 10:00,9:45,10:00,121.12063043,30.28015761
14625,2021,06,02,3,02/06/2021,02/06/2021 10:00,02/06/2021 10:15,10:00,10:15,119.84062377,29.96015594
14626,2021,06,02,3,02/06/2021,02/06/2021 10:15,02/06/2021 10:30,10:15,10:30,118.72061794,29.68015449
14627,2021,06,02,3,02/06/2021,02/06/2021 10:30,02/06/2021 10:45,10:30,10:45,117.88061357,29.47015339
14628,2021,06,02,3,02/06/2021,02/06/2021 10:45,02/06/2021 11:00,10:45,11:00,117.64061232,29.41015308
