# ---------------------------------------------------------
# Distances associées aux critères: Euclidienne, Samal, WuPalmer
# Attributs: URI
# Seuil d'indecision: 0.15
# Seuils des critères: [35.0, 100.0], [0.6], [0.7]
# Type de la géométrie: POINT
# ---------------------------------------------------------
ID_REF;NOM_REF;NUM_CANDIDAT;ID_CANDIDAT;NOM_CANDIDAT;URI_REF;URI_CANDIDAT;Euclidienne;Samal;WuPalmer;Proba pign premier;Proba pign second;Decision;GEOM_REF;GEOM_CANDIDAT
42574;Tête Chevalière;1;NA;NA;"http://purl.org/choucas.ign.fr/oor#sommet";"";0.0;0.0;0.0;0.0;1.0;false;null;null
42574;Tête Chevalière;2;PAIOROGR0000000007457324;Tête Chevalière;"http://purl.org/choucas.ign.fr/oor#sommet";"http://purl.org/choucas.ign.fr/oor#sommet";8.50031;0.0;0.0;1.0;1.0;true;POINT (900761.004111838 6414721.29486362);POINT (900760.7 6414712.8)
42997;Tête de Bertrand ou de la Jaline;1;NA;NA;"http://purl.org/choucas.ign.fr/oor#sommet";"";0.0;0.0;0.0;0.0;1.0;false;null;null
42997;Tête de Bertrand ou de la Jaline;2;PAIOROGR0000000075591035;Tête de Bertrand ou de la Jaline;"http://purl.org/choucas.ign.fr/oor#sommet";"http://purl.org/choucas.ign.fr/oor#sommet";11.97037;0.0;0.0;1.0;1.0;true;POINT (969261.494157031 6412404.03468057);POINT (969257.1 6412392.9)
42997;Tête de Bertrand ou de la Jaline;3;PAIOROGR0000002201822630;Tête des Bertrands;"http://purl.org/choucas.ign.fr/oor#sommet";"http://purl.org/choucas.ign.fr/oor#sommet";28.26413;0.31481;0.0;0.0;1.0;false;POINT (969261.494157031 6412404.03468057);POINT (969257.9 6412376)
1343103;Grotte de Bournillon;1;NA;NA;"http://purl.org/choucas.ign.fr/oor#grotte";"";0.0;0.0;0.0;0.0;1.0;false;null;null
1343103;Grotte de Bournillon;2;PAIHYDRO0000000101918786;Cascade de Moulin Marquis;"http://purl.org/choucas.ign.fr/oor#grotte";"http://purl.org/choucas.ign.fr/oor#cascade";175.54895;0.78286;0.8;0.0;1.0;false;POINT (891492.862292435 6442546.38530641);POINT (891667 6442568.6)
1343103;Grotte de Bournillon;3;PAIHYDRO0000000006689341;Source de Moulin Marquis;"http://purl.org/choucas.ign.fr/oor#grotte";"http://purl.org/choucas.ign.fr/oor#source";256.69153;0.77333;0.8;0.0;1.0;false;POINT (891492.862292435 6442546.38530641);POINT (891749.4 6442537.5)
1343103;Grotte de Bournillon;4;COURDEAU0000002000802662;le Bournillon;"http://purl.org/choucas.ign.fr/oor#grotte";"http://purl.org/choucas.ign.fr/oor#cours_d&apos;eau";95.24365;0.26667;2.0;0.0;1.0;false;POINT (891492.862292435 6442546.38530641);POINT (891566.9 6442606.3)
1343103;Grotte de Bournillon;5;PAIOROGR0000000007455712;Cirque du Bournillon;"http://purl.org/choucas.ign.fr/oor#grotte";"http://purl.org/choucas.ign.fr/oor#cirque";89.95222;0.41667;0.5;0.0;1.0;false;POINT (891492.862292435 6442546.38530641);POINT (891412.4 6442586.6)
1343103;Grotte de Bournillon;6;PAIOROGR0000000007455713;Grotte de Bournillon;"http://purl.org/choucas.ign.fr/oor#grotte";"http://purl.org/choucas.ign.fr/oor#grotte";150.43533;0.0;0.0;1.0;1.0;true;POINT (891492.862292435 6442546.38530641);POINT (891445.2 6442403.7)
1178937;Tour de Clouzis;1;NA;NA;"http://purl.org/choucas.ign.fr/oor#sommet";"";0.0;0.0;0.0;0.0;0.98543;false;null;null
1178937;Tour de Clouzis;2;PAIOROGR0000000075590035;Col de Coste Vieille;"http://purl.org/choucas.ign.fr/oor#sommet";"http://purl.org/choucas.ign.fr/oor#col";178.21573;0.78571;0.5;0.0;0.98543;false;POINT (973146.040672538 6429755.47506553);POINT (973253.1 6429613)
1178937;Tour de Clouzis;3;PAIOROGR0000000075590041;Aiguille de Coste Vieille;"http://purl.org/choucas.ign.fr/oor#sommet";"http://purl.org/choucas.ign.fr/oor#pic";254.94003;0.80571;0.2;0.0;0.98543;false;POINT (973146.040672538 6429755.47506553);POINT (973234.3 6429516.3)
1178937;Tour de Clouzis;4;PAIOROGR0000000075590047;Tour de Clouzis;"http://purl.org/choucas.ign.fr/oor#sommet";"http://purl.org/choucas.ign.fr/oor#pic";86.55063;0.0;0.2;0.98543;0.98543;true;POINT (973146.040672538 6429755.47506553);POINT (973079.9 6429811.3)
1178937;Tour de Clouzis;5;PAIOROGR0000000075590046;Col du Clocher;"http://purl.org/choucas.ign.fr/oor#sommet";"http://purl.org/choucas.ign.fr/oor#col";189.45772;0.64286;0.5;0.0;0.98543;false;POINT (973146.040672538 6429755.47506553);POINT (973099 6429939)
1178937;Tour de Clouzis;6;PAIOROGR0000000075590036;Pic de Coste Vieille;"http://purl.org/choucas.ign.fr/oor#sommet";"http://purl.org/choucas.ign.fr/oor#pic";57.4203;0.80571;0.2;0.0;0.98543;false;POINT (973146.040672538 6429755.47506553);POINT (973200.2 6429736.4)
243233;Les Arias;1;NA;NA;"http://purl.org/choucas.ign.fr/oor#gîte";"";0.0;0.0;0.0;0.34896;0.0;indécis;null;null
243233;Les Arias;2;PAIHABIT0000000007547634;les Prés;"http://purl.org/choucas.ign.fr/oor#gîte";"http://purl.org/choucas.ign.fr/oor#lieu-dit";31.3233;0.3;0.77778;0.4784;0.0;indécis;POINT (950449.905367775 6434009.69229431);POINT (950420.5 6433998.9)
243233;Les Arias;3;PAIHABIT0000000007547632;les Roures;"http://purl.org/choucas.ign.fr/oor#gîte";"http://purl.org/choucas.ign.fr/oor#lieu-dit";279.76419;0.4;0.77778;0.01867;0.0;indécis;POINT (950449.905367775 6434009.69229431);POINT (950300.6 6433773.1)
243233;Les Arias;4;PAIHABIT0000000007547636;la Ville;"http://purl.org/choucas.ign.fr/oor#gîte";"http://purl.org/choucas.ign.fr/oor#lieu-dit";132.64171;0.86667;0.77778;0.00782;0.0;indécis;POINT (950449.905367775 6434009.69229431);POINT (950391.36785918 6433890.66631542)
